DOI,venue,year,title,subtitle,abstract,authors,keywords,page_from,page_to
10.1145/2858036.2858245,CHI,2016,Linespace,A Sensemaking Platform for the Blind,"For visually impaired users, making sense of spatial information is difficult as they have to scan and memorize content before being able to analyze it. Even worse, any update to the displayed content invalidates their spatial memory, which can force them to manually rescan the entire display. Making display contents persist, we argue, is thus the highest priority in designing a sensemaking system for the visually impaired. We present a tactile display system designed with this goal in mind. The foundation of our system is a large tactile display (140x100cm, 23x larger than Hyperbraille), which we achieve by using a 3D printer to print raised lines of filament. The system's software then trades in this space in order to minimize screen updates. Instead of panning and zooming, for example, our system creates additional views, leaving display contents intact and thus supporting users in preserving their spatial memory. We illustrate our system and its design principles at the example of four spatial applications. We evaluated our system with six blind users. Participants responded favorably to the system and expressed, for example, that having multiple views at the same time was helpful. They also judged the increased expressiveness of lines over the more traditional dots as useful for encoding information.","Saiganesh Swaminathan, Thijs Roumen, Robert Kovacs, David Stangl, Stefanie Mueller, Patrick Baudisch","3D printing, accessibility",2175,2185
10.1145/3290605.3300544,CHI,2019,&#34;Occupational Therapy is Making&#34;,Clinical Rapid Prototyping and Digital Fabrication,"Consumer-fabrication technologies potentially improve the effectiveness and adoption of assistive technology (AT) by engaging AT users in AT creation. However, little is known about the role of clinicians in this revolution. We investigate clinical AT fabrication by working as expert fabricators for clinicians over a four-month period. We observed and co-designed AT with four occupational therapists at two clinics: a free clinic for uninsured clients, and a Veteran's Affairs Hospital. We find that existing fabrication processes, particularly with respect to rapid prototyping, do not align with clinical practice and its<i>do-no-harm</i> ethos. We recommend software solutions that would integrate into client care by: amplifying clinicians' expertise, revealing appropriate fabrication opportunities, and supporting adaptable fabrication.","Megan Hofmann, Kristin Williams, Toni Kaplan, Stephanie Valencia, Gabriella Hann, Scott Hudson, Jennifer Mankoff, Patrick Carrington","3d printing, adaptive design, digital fabrication, occupational therapy, rapid prototyping",1,13
10.1145/3290605.3300759,CHI,2019,Understanding and Designing for Deaf or Hard of Hearing Drivers on Uber, ,"We used content analysis of in-app driver survey responses, customer support tickets, and tweets, and face-to-face interviews of DHH Uber drivers to better understand the DHH driver experience. Here we describe challenges DHH drivers experience and how they address those difficulties via Uber's accessibility features and their own workarounds. We also identify and discuss design and product opportunities to improve the DHH driver experience on Uber.","Sooyeon Lee, Bjorn Hubert-Wallander, Molly Stevens, John Carroll","accessibility, communication, deaf or hard of hearing drivers, uber",1,12
10.1145/2470654.2481365,CHI,2013,Understanding the conflicting demands of family caregivers caring for depressed family members, ,"Depression is one of the most common disabilities in developed countries. Despite its often devastating impact on families, scant research has focused on how to facilitate the well-being of family caregivers. The aim of this paper is to uncover the challenges faced by family caregivers and support their well-being with the use of technologies. To understand the emotional and social burden of caregivers and how they handle their stress, we conducted in-depth interviews with 15 individuals who have cared for a depressed family member. Our findings reveal the multifaceted dilemma of caring for a depressed family member as well as the various strategies engaged in by caregivers to improve their own situations. Based on our findings, we suggest design implications for healthcare technologies to improve the wellness of caregivers who are looking after depressed family members.","Naomi Yamashita, Hideaki Kuzuoka, Keiji Hirata, Takashi Kudo","depression, family caregivers, healthcare technology, stress",2637,2646
10.1145/3173574.3173845,CHI,2018,Smart Kitchens for People with Cognitive Impairments,A Qualitative Study of Design Requirements,"Individuals with cognitive impairments currently leverage extensive human resources during their transitions from assisted living to independent living. In Western Europe, many government-supported volunteer organizations provide sheltered living facilities; supervised environments in which people with cognitive impairments collaboratively learn daily living skills. In this paper, we describe communal cooking practices in sheltered living facilities and identify opportunities for supporting these with interactive technology to reduce volunteer workload. We conducted two contextual observations of twelve people with cognitive impairments cooking in sheltered living facilities and supplemented this data through interviews with four employees and volunteers who supervise them. Through thematic analysis, we identified four themes to inform design requirements for communal cooking activities: Work organization, community, supervision, and practicalities. Based on these, we present five design implications for assistive systems in kitchens for people with cognitive deficiencies.","Thomas Kosch, Pawe&#322; Wo&#378;niak, Erin Brady, Albrecht Schmidt","accessibility, assistive systems, people with cognitive impairments, sheltered housing, smart kitchens",1,12
10.1145/3173574.3173772,CHI,2018,Accessible Maps for the Blind,Comparing 3D Printed Models with Tactile Graphics,"Tactile maps are widely used in Orientation and Mobility (O&#38;M) training for people with blindness and severe vision impairment. Commodity 3D printers now offer an alternative way to present accessible graphics, however it is unclear if 3D models offer advantages over tactile equivalents for 2D graphics such as maps. In a controlled study with 16 touch readers, we found that 3D models were preferred, enabled the use of more easily understood icons, facilitated better short term recall and allowed relative height of map elements to be more easily understood. Analysis of hand movements revealed the use of novel strategies for systematic scanning of the 3D model and gaining an overview of the map. Finally, we explored how 3D printed maps can be augmented with interactive audio labels, replacing less practical braille labels. Our findings suggest that 3D printed maps do indeed offer advantages for O&#38;M training.","Leona Holloway, Kim Marriott, Matthew Butler","3d printing, accessibility, blindness, mapping, orientation and mobility training, vision impairment",1,13
10.1145/3290605.3300757,CHI,2019,#HandsOffMyADA,A Twitter Response to the ADA Education and Reform Act,"Twitter continues to be used increasingly for communication related advocacy, activism, and social change. This is also the case for the disability community. In light of the recently proposed ADA Education and Reform in the United States, we investigate factors for effectiveness of sharing or retweeting messages about topics affecting the rights of people with disabilities. We perform a multifaceted study of the #HandsOffMyADA campaign against the proposed H.R.620 bill to: (1) explore how communication via Twitter compares to previous disability rights movements; (2) characterize the campaign in terms of hashtags, user groups, and content such as accessible multimedia that contribute to dissemination of campaign messages; (3) identify major themes in tweets and responses, and their variation among user groups; and (4) understand how the disability community mobilized for this campaign compared to previous Twitter initiatives.","Brooke Auxier, Cody Buntain, Paul Jaeger, Jennifer Golbeck, Hernisa Kacorri","accessibility, activism, disability rights, social media",1,12
10.1145/1978942.1979302,CHI,2011,CHANTI,predictive text entry using non-verbal vocal input,"This paper introduces a text entry application for users with physical disabilities who cannot utilize a manual keyboard. The system allows the user to enter text hands-free, with the help of ""Non-verbal Vocal Input"" (e.g., humming or whistling). To keep the number of input sounds small, an ambiguous keyboard is used. As the user makes a sequence of sounds, each representing a subset of the alphabet, the program searches for matches in a dictionary. As a model for the system, the scanning-based application QANTI was redesigned and adapted to accept the alternative input signals. The usability of the software was investigated in an international longitudinal study done at locations in the Czech Republic, Germany, and the United States. Eight test users were recruited from the target community. The users differed in the level of speech impairment. Three users did not complete the study due to the severity of their impairment. By the end of the experiment, the users were able to enter text at rates between 10 and 15 characters per minute.","Adam Sporka, Torsten Felzer, Sri Kurniawan, Ond&#345;ej Pol&#225;&#269;ek, Paul Haiduk, I. MacKenzie","ambiguous keyboard, assistive technology, human-computer interaction, non-verbal voice input, predictive text entry, scanning, user study",2463,2472
10.1145/2207676.2207734,CHI,2012,SpaceSense,representing geographical information to visually impaired people using spatial tactile feedback,"Learning an environment can be challenging for people with visual impairments. Braille maps allow their users to understand the spatial relationship between a set of places. However, physical Braille maps are often costly, may not always cover an area of interest with sufficient detail, and might not present up-to-date information. We built a handheld system for representing geographical information called SpaceSense, which includes custom spatial tactile feedback hardware-multiple vibration motors attached to different locations on a mobile touch-screen device. It offers high-level information about the distance and direction towards a destination and bookmarked places through vibrotactile feedback to help the user maintain the spatial relationships between these points. SpaceSense also adapts a summarization technique for online user reviews of public and commercial venues. Our user study shows that participants could build and maintain the spatial relationships between places on a map more accurately with SpaceSense compared to a system without spatial tactile feedback. They pointed specifically to having spatial tactile feedback as the contributing factor in successfully building and maintaining their mental map.","Koji Yatani, Nikola Banovic, Khai Truong","assistive technology, geographical information representation, handheld devices, touch screens, users with visual impairments, vibrotactile feedback",415,424
10.1145/2858036.2858517,CHI,2016,AugKey,Increasing Foveal Throughput in Eye Typing with Augmented Keys,"Eye-typing is an important tool for people with physical disabilities and, for some, it is their main form of communication. By observing expert typists using physical keyboards, we notice that visual throughput is considerably reduced in current eye-typing solutions. We propose AugKey to improve throughput by augmenting keys with a prefix, to allow continuous text inspection, and suffixes to speed up typing with word prediction. AugKey limits the visual information to the foveal region to minimize eye movements (i.e., reduce eye work). We have applied AugKey to a dwell-time keyboard and compared its performance with two conditions with no augmented feedback: a keyboard with and one without word prediction. Results show that AugKey can be about 28% faster than no word prediction and 20% faster than traditional word prediction, with a smaller workload index.","Antonio Diaz-Tula, Carlos Morimoto","augmented feedback, eye typing, text-entry speed, user experience, word prediction",3533,3544
