Index,Author,Title,Keyword,DOI,Venue,Year,CommunityOfFocus-BVI,CommunityOfFocus-DHH,CommunityOfFocus-IDD,CommunityOfFocus-MotorPhysical,CommunityOfFocus-Autism,CommunityOfFocus-Cognitive,CommunityOfFocus-OlderAdult,CommunityOfFocus-GeneralDisability,CommunityOfFocus-Other,IssueAddressed-IncreaseDigitalAccess,IssueAddressed-IncreasePhysicalAccess,IssueAddressed-IncreaseIndependence,IssueAddressed-IncreaseUnderstandingOfUsers,IssueAddressed-HelpWithPersonalInformaticsBehaviorChange,IssueAddressed-SupportCommunication,IssueAddressed-Other,ContributionType-Empirical,ContributionType-Artifact,ContributionType-Methodological,ContributionType-Theoretical,ContributionType-Dataset,ContributionType-SurveyContribution,StudyMethod-ControlledExperiment,StudyMethod-SurveyMethod,StudyMethod-UsabilityTesting,StudyMethod-Interviews,StudyMethod-CaseStudy,StudyMethod-FocusGroups,StudyMethod-FieldStudy,StudyMethod-WorkshopDesign,StudyMethod-Other,ParticipantGroup-OlderAdult,ParticipantGroup-PeopleWithDisability,ParticipantGroup-PeopleWithoutDisability,ParticipantGroup-TherapistsSpecialists,ParticipantGroup-Caregivers,ParticipantGroup-Other,ParticipantGroup-Other-Notes,ParticipantGroup-Other-Crowdworker,ParticipantGroup-NoUserStudy,StudyLocation-NearAtLab,StudyLocation-ParticipantsHomeOrFreqLoc,StudyLocation-NeutralLocation,StudyLocation-Unclear,StudyLocation-OnlineRemotely,StudyLocation-Other,StudyLocation-NoUserStudy,ParticipatoryDesign-Yes,ParticipatoryDesign-No,ComparesOnDisability-Yes,ComparesOnDisability-No,UsesProxies-Yes,UsesProxies-No,Total num Participants,NumParticipants-Group1-Count,NumParticipants-Group1-Population,NumParticipants-Group2-Count,NumParticipants-Group2-Population,NumParticipants-Group3-Count,NumParticipants-Group3-Population,NumParticipants-Group4-Count,NumParticipants-Group4-Population,NumParticipants-Group5-Count,NumParticipants-Group5-Population
1,"Giovanni Fusco, Valerie Morash",The Tactile Graphics Helper Providing Audio Clarification for Tactile Graphics Using Machine Vision,"assistive devices, case study, finger tracking, machine vision, mixed-methods, tactile graphics",10.1145/2700648.2809868,ASSETS,2015,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,5,2,Specialists,3,BVI,0,0,0,0,0,0
2,Megan Hofmann and Kristin Williams and Toni Kaplan and Stephanie Valencia and Gabriella Hann and Scott E. Hudson and Jennifer Mankoff and Patrick Carrington,"""Occupational Therapy is Making"": Clinical Rapid Prototyping and Digital Fabrication","3d printing, adaptive design, digital fabrication, occupational therapy, rapid prototyping",10.1145/3290605.3300544,CHI,2019,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,4,Specialists,0,0,0,0,0,0,0,0
3,"Jessica Tran, Joy Kim, Jaehong Chon, Eve Riskin, Richard Ladner, Jacob Wobbrock",Evaluating quality and comprehension of real-time sign language video on mobile phones  ,"american sign language, bitrate, deaf community, mobile phones, online survey, psnr, spatial resolution, video compression",10.1145/2049536.2049558,ASSETS,2011,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,ASL signers & non-signers,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,95,39,NonDisabled,56,Other-Signers,0,0,0,0,0,0
4,Timo Götzelmann,LucentMaps 3D Printed Audiovisual Tactile Maps for Blind and Visually Impaired People,"3d printing, accessibility, audio-tactile, blind, capacitive, capacitive sensing, functional, global, marker, orientation, tactile maps, tangible user interfaces, touch screen",10.1145/2982142.2982163,ASSETS,2016,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,9,9,BVI,0,0,0,0,0,0,0,0
5,Sooyeon Lee and Bjorn Hubert-Wallander and Molly Stevens and John M. Carroll,Understanding and Designing for Deaf or Hard of Hearing Drivers on Uber  ,"accessibility, communication, deaf or hard of hearing drivers, uber",10.1145/3290605.3300759,CHI,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,5,5,DHH,0,0,0,0,0,0,0,0
6,"Julio Abascal, Amaia Aizpurua, Idoia Cearreta, Borja Gamecho, Nestor Garay-Vitoria, Raúl Miñón",Automatically generating tailored accessible user interfaces for ubiquitous services  ,"accessible user interfaces, adaptive systems, automatic user interface generation, ubiquitous computing",10.1145/2049536.2049570,ASSETS,2011,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,Students who had taken a web accessibility course,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,5,4,Other-Students with web accessibility knowledge,1,BVI,0,0,0,0,0,0
7,"Brendan Cassidy, Gilbert Cockton, Lynne Coventry",A haptic ATM interface to assist visually impaired users  ,"acceptability, accessibility, automated teller machine, haptic, keypad, vibro-tactile, visual impairment",10.1145/2513383.2513433,ASSETS,2013,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,16,9,BVI,7,Older Adult NonDisabled,0,0,0,0,0,0
8,"Dhruv Jain, Rachel Franz, Leah Findlater, Jackson Cannon, Raja Kushalnagar, Jon Froehlich",Towards Accessible Conversations in a Mobile Context for People who are Deaf and Hard of Hearing  ,"augmented reality, conversations, deaf and hard of hearing, head-mounted display, moving, real-time captioning",10.1145/3234695.3236362,ASSETS,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,22,22,DHH,0,0,0,0,0,0,0,0
9,Naomi Yamashita and Hideaki Kuzuoka and Keiji Hirata and Takashi Kudo,Understanding the conflicting demands of family caregivers caring for depressed family members  ,"depression, family caregivers, healthcare technology, stress",10.1145/2470654.2481365,CHI,2013,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,15,15,Caregivers,0,0,0,0,0,0,0,0
10,Thomas Kosch and Paweł W. Woźniak and Erin Brady and Albrecht Schmidt,Smart Kitchens for People with Cognitive Impairments A Qualitative Study of Design Requirements,"accessibility, assistive systems, people with cognitive impairments, sheltered housing, smart kitchens",10.1145/3173574.3173845,CHI,2018,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,16,12,Cognitive,4,Caregivers,0,0,0,0,0,0
